time,winning_trader,winning_regulator
2023-03-30 19:05:19.834441,Cooperator,SuspiciousForgiving
2023-03-30 19:13:43.198724,Cooperator,Random: 0.2
2023-03-30 19:27:48.988407,CoastClear,SuspiciousForgiving
2023-03-30 19:35:07.595298,Cooperator,SuspiciousForgiving
2023-03-30 19:44:38.481120,NceBitten: 5,SuspiciousGrudge
2023-03-30 19:53:06.122827,NceBitten: 5,SuspiciousGrudge
2023-04-02 09:28:44.786867,NceBitten: 5,SuspiciousForgiving
2023-04-02 09:34:57.536823,Cooperator,SuspiciousGrudge
2023-04-02 09:44:23.362011,Cooperator,Grudge
2023-04-02 09:52:54.893027,NceBitten: 5,SuspiciousGrudge
2023-04-02 10:01:12.567089,Cooperator,Grudge
2023-04-02 10:12:40.073117,NceBitten: 5,SuspiciousGrudge
2023-04-02 10:17:57.356662,Cooperator,Grudge
2023-04-02 10:28:12.853413,Careful,SuspiciousForgiving
2023-04-02 10:36:40.259763,NceBitten: 5,BudgetStretcher
2023-04-02 10:49:57.051311,CoastClear,SuspiciousForgiving
2023-04-02 10:56:07.904284,Careful,SuspiciousForgiving
2023-04-02 11:05:13.689259,Cooperator,SuspiciousForgiving
2023-04-02 11:17:27.397428,Cooperator,SuspiciousForgiving
2023-04-02 11:27:16.878482,CoastClear,Random: 0.2
2023-04-02 11:40:56.469078,Cooperator,SuspiciousForgiving
2023-04-02 11:50:59.589546,Cooperator,SuspiciousGrudge
2023-04-02 12:04:59.144164,NceBitten: 5,SuspiciousGrudge
2023-04-02 12:12:33.549524,Cooperator,Grudge
2023-04-02 12:19:09.692490,CoastClear,Grudge
2023-04-02 12:32:12.675084,Tit For 2 Tats,SuspiciousGrudge
2023-04-04 17:10:02.362921,NceBitten: 5,SuspiciousGrudge
2023-04-04 17:20:41.870060,NceBitten: 5,BudgetStretcher
2023-04-04 17:27:41.766049,Cooperator,SuspiciousForgiving
2023-04-04 17:35:05.367502,NceBitten: 5,Grudge
2023-04-04 17:45:26.334075,NceBitten: 5,SuspiciousGrudge
2023-04-04 17:54:00.459216,NceBitten: 5,SuspiciousGrudge
2023-04-04 18:01:45.292591,Cooperator,SuspiciousGrudge
2023-04-04 18:12:57.690053,NceBitten: 5,SuspiciousGrudge
2023-04-04 18:27:40.967549,Cooperator,Random: 0.2
2023-04-04 18:33:50.047047,CoastClear,SuspiciousGrudge
2023-04-04 18:41:24.967707,Cooperator,Grudge
2023-04-04 18:52:42.640008,Cooperator,SuspiciousGrudge
2023-04-04 18:59:54.915655,NceBitten: 5,SuspiciousForgiving
2023-04-04 19:08:02.705222,Cooperator,Grudge
2023-04-04 19:17:17.169087,Cooperator,SuspiciousForgiving
2023-04-04 19:23:55.971713,Cooperator,SuspiciousForgiving
2023-04-04 19:30:47.874643,NceBitten: 5,Grudge
2023-04-04 19:37:04.619446,NceBitten: 5,SuspiciousGrudge
2023-04-04 19:46:22.358495,CoastClear,Random: 0.2
2023-04-04 19:51:38.531422,Cooperator,SuspiciousGrudge
2023-04-04 20:02:46.974781,Cooperator,SuspiciousGrudge
2023-04-04 20:13:49.377960,CoastClear,SuspiciousForgiving
2023-04-04 20:17:19.320646,Cooperator,BudgetStretcher
2023-04-04 20:26:17.869001,NceBitten: 5,SuspiciousGrudge
2023-04-04 20:33:26.787558,NceBitten: 5,SuspiciousForgiving
2023-04-04 20:41:11.930385,NceBitten: 5,Random: 0.2
2023-04-04 20:50:36.970118,NceBitten: 5,Grudge
2023-04-04 21:04:58.048137,CoastClear,SuspiciousForgiving
2023-04-06 18:54:05.993312,Cooperator,SuspiciousGrudge
2023-04-06 19:01:17.437873,NceBitten: 5,SuspiciousGrudge
2023-04-06 19:16:15.561213,Random: 0.8,Random: 0.2
2023-04-06 19:27:26.131052,Careful,SuspiciousForgiving
2023-04-06 19:35:13.594591,Cooperator,Grudge
2023-04-06 19:43:51.604025,NceBitten: 5,Random: 0.2
2023-04-06 19:51:20.908460,Random: 0.8,SuspiciousForgiving
2023-04-06 19:59:11.508693,NceBitten: 5,SuspiciousGrudge
2023-04-06 20:05:07.357674,Tit For 2 Tats,SuspiciousGrudge
2023-04-06 20:13:44.295349,Random: 0.8,SuspiciousGrudge
2023-04-06 20:23:48.964383,NceBitten: 5,SuspiciousGrudge
2023-04-06 20:31:41.059378,NceBitten: 5,SuspiciousForgiving
2023-04-06 20:38:11.864153,Cooperator,SuspiciousForgiving
2023-04-06 20:47:09.803395,Random: 0.8,SuspiciousGrudge
2023-04-06 20:55:00.429312,NceBitten: 5,Grudge
2023-04-06 21:02:46.395995,NceBitten: 5,SuspiciousGrudge
2023-04-15 09:17:21.036955,Random: 0.8,SuspiciousForgiving
2023-04-15 09:22:20.139505,Cooperator,SuspiciousGrudge
2023-04-15 09:31:05.806373,Random: 0.8,SuspiciousForgiving
2023-04-15 09:40:03.467973,NceBitten: 5,SuspiciousGrudge
2023-04-15 10:01:22.123496,NceBitten: 5,Random: 0.2
2023-04-15 10:09:10.056853,CoastClear,SuspiciousForgiving
2023-04-15 10:15:37.676312,CoastClear,SuspiciousForgiving
2023-04-15 10:24:28.719584,Cooperator,SuspiciousForgiving
2023-04-15 10:36:11.561000,CoastClear,SuspiciousGrudge
2023-04-15 10:46:02.826996,CoastClear,Random: 0.2
2023-04-15 10:53:02.599273,Careful,BudgetStretcher
2023-04-15 11:04:48.100427,Cooperator,SuspiciousGrudge
2023-04-15 11:21:21.539039,Tit For 2 Tats,SuspiciousGrudge
2023-04-15 11:27:19.492192,Cooperator,SuspiciousGrudge
2023-04-15 11:33:18.473930,CoastClear,Grudge
2023-04-15 11:42:13.761700,Cooperator,SuspiciousGrudge
2023-04-15 11:48:47.965482,Cooperator,SuspiciousForgiving
2023-04-15 11:55:28.007301,Cooperator,Grudge
2023-04-15 12:01:59.476135,Cooperator,Random: 0.2
